,dates,SP500,DJIA,NASDAQ,Russell1000
0,1960-12-31T00:00:00Z,2.289118149851508,3.5140794768853985,0.0,0.0
1,1961-12-31T00:00:00Z,2.7163040749513705,3.933223476487288,0.0,0.0
2,1962-12-31T00:00:00Z,2.556865048936646,3.634142482825235,0.0,0.0
3,1963-12-31T00:00:00Z,2.8635494993621413,4.063747341895963,0.0,0.0
4,1964-12-31T00:00:00Z,3.335035428048358,4.742615537628633,0.0,0.0
5,1965-12-31T00:00:00Z,3.6138146333465953,5.178263196698662,0.0,0.0
6,1966-12-31T00:00:00Z,3.494406142569502,4.962648846083776,0.0,0.0
7,1967-12-31T00:00:00Z,3.7678570513685354,5.000736325849794,0.0,0.0
8,1968-12-31T00:00:00Z,4.045167559554814,5.139917839397393,0.0,0.0
9,1969-12-31T00:00:00Z,4.010157919095283,4.979355135543784,0.0,0.0
10,1970-12-31T00:00:00Z,3.410929497415264,4.282235866723607,0.0,0.0
11,1971-12-31T00:00:00Z,4.02832877638745,5.031389488089458,0.0,0.0
12,1972-12-31T00:00:00Z,4.476110616801552,5.402373323587507,0.0,0.0
13,1973-12-31T00:00:00Z,4.402949007177829,5.2542684353628335,0.0,0.0
14,1974-12-31T00:00:00Z,3.383570744236644,4.316416151897547,0.0,0.0
15,1975-12-31T00:00:00Z,3.531260193355682,4.565231395629017,0.0,0.0
16,1976-12-31T00:00:00Z,4.181551456486432,5.544999682554594,0.0,0.0
17,1977-12-31T00:00:00Z,4.025323070669947,5.08516022027282,0.0,0.0
18,1978-12-31T00:00:00Z,3.9355617681063872,4.668973493914792,0.0,0.0
19,1979-12-31T00:00:00Z,4.222572508380966,4.801243231183379,0.0,0.0
20,1980-12-31T00:00:00Z,4.868560147416204,5.0669398525380345,0.0,0.0
21,1981-12-31T00:00:00Z,5.248030494250734,5.304540174620082,0.0,0.0
22,1982-12-31T00:00:00Z,4.907156141288663,5.029435793496193,0.0,0.0
23,1983-12-31T00:00:00Z,6.575322814501848,6.7707889782089925,0.0,0.0
24,1984-12-31T00:00:00Z,6.577030601841336,6.701243249069207,0.0,0.0
25,1985-12-31T00:00:00Z,7.658401545205984,7.550986546756872,0.0,0.0
26,1986-12-31T00:00:00Z,9.687594461987214,10.19560503725717,0.0,0.0
27,1987-12-31T00:00:00Z,11.756749602512496,12.950068094963507,0.0,0.0
28,1988-12-31T00:00:00Z,10.893633881134585,11.721569742064535,0.0,0.0
29,1989-12-31T00:00:00Z,13.231936306363384,14.273790815825704,0.0,0.0
30,1990-12-31T00:00:00Z,13.713703114833331,15.235390714960072,0.0,0.0
31,1991-12-31T00:00:00Z,15.418348125618007,16.65452475642516,0.0,0.0
32,1992-12-31T00:00:00Z,17.040062983197085,18.673295652345523,0.0,0.0
33,1993-12-31T00:00:00Z,18.501758167066004,20.042712581558604,0.0,0.0
34,1994-12-31T00:00:00Z,18.86746374794425,21.576023924184813,0.0,0.0
35,1995-12-31T00:00:00Z,22.200074117970527,25.58356667686199,0.0,0.0
36,1996-12-31T00:00:00Z,27.495171231297594,32.65979211336931,0.0,0.0
37,1997-12-31T00:00:00Z,35.768171284238996,42.321789531442086,0.0,0.0
38,1998-12-31T00:00:00Z,44.442535517707185,49.081305654604066,0.0,0.0
39,1999-12-31T00:00:00Z,54.35111766142433,59.60418272273101,0.0,0.0
40,2000-12-31T00:00:00Z,58.48860820455193,60.97534616242988,0.0,0.0
41,2001-12-31T00:00:00Z,48.8595908483092,58.030099182944284,0.0,0.0
42,2002-12-31T00:00:00Z,40.807783411578455,52.39573194201213,0.0,0.0
43,2003-12-31T00:00:00Z,39.49862779287272,51.211814009709336,33.52662149263666,0.0
44,2004-12-31T00:00:00Z,46.337632972591734,58.65409490153767,40.164267969813686,0.0
45,2005-12-31T00:00:00Z,49.473677019842775,59.96837473576839,42.4588016765713,0.0
46,2006-12-31T00:00:00Z,53.72029517396374,64.87610620866491,45.766565133541256,0.0
47,2007-12-31T00:00:00Z,60.522617081630514,74.93165778639509,52.13706853406155,0.0
48,2008-12-31T00:00:00Z,50.04042332632569,63.93376041145341,43.76140334108688,0.0
49,2009-12-31T00:00:00Z,38.80376328018131,50.52391233451754,37.314022854648954,0.0
50,2010-12-31T00:00:00Z,46.69667818284595,60.661689852213094,47.51527883617249,0.0
51,2011-12-31T00:00:00Z,52.007862652910994,67.99084782755045,54.13834303040922,62.19596038583452
52,2012-12-31T00:00:00Z,56.54401907256901,73.72073655608409,59.964154159065565,68.0397487905486
53,2013-12-31T00:00:00Z,67.32145510312473,85.34428043430773,71.60557517965394,86.3078168813556
54,2014-12-31T00:00:00Z,79.13206831832473,95.39809568575569,88.46539622075777,98.34321526581378
55,2015-12-31T00:00:00Z,84.48215618398335,100.0,100.0,100.0
56,2016-12-31T00:00:00Z,85.73819961643096,95.66889376569426,0.0,0.0
57,2017-12-31T00:00:00Z,100.0,0.0,0.0,0.0
