,dates,SP500,DJIA,NASDAQ,Russell1000
0,1960-12-31T00:00:00Z,55.849999999999994,618.0221825396824,,
1,1961-12-31T00:00:00Z,66.2725,691.7371599999999,,
2,1962-12-31T00:00:00Z,62.38249999999999,639.1376984126981,,
3,1963-12-31T00:00:00Z,69.865,714.6924302788842,,
4,1964-12-31T00:00:00Z,81.36833333333334,834.0851778656126,,
5,1965-12-31T00:00:00Z,88.16999999999997,910.7026587301591,,
6,1966-12-31T00:00:00Z,85.25666666666666,872.7825000000003,,
7,1967-12-31T00:00:00Z,91.92833333333333,879.4809561752984,,
8,1968-12-31T00:00:00Z,98.69416666666666,903.9588495575224,,
9,1969-12-31T00:00:00Z,97.83999999999999,875.7206399999998,,
10,1970-12-31T00:00:00Z,83.22,753.1180708661418,,
11,1971-12-31T00:00:00Z,98.28333333333335,884.8719367588934,,
12,1972-12-31T00:00:00Z,109.20833333333333,950.116972111554,,
13,1973-12-31T00:00:00Z,107.42333333333333,924.0697222222215,,
14,1974-12-31T00:00:00Z,82.5525,759.1293675889325,,
15,1975-12-31T00:00:00Z,86.15583333333332,802.8885770750989,,
16,1976-12-31T00:00:00Z,102.02166666666666,975.2007114624503,,
17,1977-12-31T00:00:00Z,98.21,894.3286111111116,,
18,1978-12-31T00:00:00Z,96.01999999999998,821.1337301587301,,
19,1979-12-31T00:00:00Z,103.0225,844.3960474308296,,
20,1980-12-31T00:00:00Z,118.78333333333335,891.124189723321,,
21,1981-12-31T00:00:00Z,128.04166666666666,932.9110276679846,,
22,1982-12-31T00:00:00Z,119.72500000000002,884.5283399209484,,
23,1983-12-31T00:00:00Z,160.42500000000004,1190.7806324110672,,
24,1984-12-31T00:00:00Z,160.46666666666667,1178.5496047430822,,
25,1985-12-31T00:00:00Z,186.85,1327.994206349207,,
26,1986-12-31T00:00:00Z,236.35833333333335,1793.104031620554,,
27,1987-12-31T00:00:00Z,286.84166666666664,2277.532252964426,,
28,1988-12-31T00:00:00Z,265.78333333333336,2061.475889328064,,
29,1989-12-31T00:00:00Z,322.8333333333333,2510.3357539682543,,
30,1990-12-31T00:00:00Z,334.58750000000003,2679.4526086956525,,
31,1991-12-31T00:00:00Z,376.1775,2929.036126482213,,
32,1992-12-31T00:00:00Z,415.7441666666668,3284.077952755905,,
33,1993-12-31T00:00:00Z,451.4066666666667,3524.9177075098814,,
34,1994-12-31T00:00:00Z,460.32916666666665,3794.5816205533597,,
35,1995-12-31T00:00:00Z,541.6383333333332,4499.389333333331,,
36,1996-12-31T00:00:00Z,670.8283333333334,5743.887164750959,,
37,1997-12-31T00:00:00Z,872.6733333333333,7443.145468749999,,
38,1998-12-31T00:00:00Z,1084.3108333333332,8631.943540856031,,
39,1999-12-31T00:00:00Z,1326.0608333333334,10482.604999999996,,
40,2000-12-31T00:00:00Z,1427.0075,10723.751914062505,,
41,2001-12-31T00:00:00Z,1192.0783333333334,10205.770468750003,,
42,2002-12-31T00:00:00Z,995.63,9214.852658730151,,
43,2003-12-31T00:00:00Z,963.6891666666666,9006.636666666665,1658.0770000000007,
44,2004-12-31T00:00:00Z,1130.5475000000004,10315.512777777774,1986.3453571428588,
45,2005-12-31T00:00:00Z,1207.0608333333332,10546.65555555555,2099.8227490039835,
46,2006-12-31T00:00:00Z,1310.6699999999998,11409.77972111554,2263.409960159361,
47,2007-12-31T00:00:00Z,1476.6333333333332,13178.252509960157,2578.4666135458156,
48,2008-12-31T00:00:00Z,1220.888333333333,11244.049090909095,2164.243611111111,
49,2009-12-31T00:00:00Z,946.7358333333335,8885.655198412696,1845.3849603174601,
50,2010-12-31T00:00:00Z,1139.3075000000001,10668.589087301589,2349.893531746033,
51,2011-12-31T00:00:00Z,1268.8899999999996,11957.570238095243,2677.4407142857144,886.7049375
52,2012-12-31T00:00:00Z,1379.5633333333335,12965.287440000002,2965.559320000002,970.01768
53,2013-12-31T00:00:00Z,1642.5116666666665,15009.52349206349,3541.2920238095235,1230.458809523808
54,2014-12-31T00:00:00Z,1930.6675000000002,16777.690912698425,4375.103492063489,1402.043058823529
55,2015-12-31T00:00:00Z,2061.1991666666668,17587.029166666664,4945.55349206349,1425.6632295719837
56,2016-12-31T00:00:00Z,2091.8441666666668,16825.316249999996,,
57,2017-12-31T00:00:00Z,2439.8041666666663,,,
